晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
万古流芳 (二三子) , RH_brush_044, RH_brush_044,
曜赫 (琢瑾) , RH_sword_309, RH_sword_309,
碧血丹心·鸣锋弩 (昼晦) (昼晦·一) , RH_bow_082, RH_bow_082,
长生 (造化圆通) , RH_sword_230, RH_sword_230,
平津笔 (等闲幽梦) , RH_brush_087, RH_brush_087,
解幽魂 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
寻踪觅宝·凶咎 (悲白) , LH_BDdagger_007, RH_BDknife_007,
绝命奇花 (不断苔生) , RH_brush_101b, RH_brush_101b,
寻踪觅宝·炎清 (问棋语) , RH_brush_119, RH_brush_119,
寻踪觅宝·千精 (洛城飞声) , D011078, D011078,
破阵踏霄·连星弩 (银月惊弦) , RH_bow_087, RH_bow_087,
寻踪觅宝·令威 (独领残兵) , LH_shield_037, RH_pike_050,
寻踪觅宝·宛似归 (鸿毛影) , RH_sword_275, RH_sword_275,
随湘 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
知音觅兮·佩问 (苦颜) , D011025, D011025,
桃李清风·守虚剑 (青雷锁) , RH_sword_132, RH_sword_132,
天子不伐 (冥霜) (冥霜·一) , RH_spear_102, RH_spear_102,
摧花 (池浅速谋) , LH_shield_055, RH_pike_056,
乙问棍 (此间行路) , RH_wand_070b, RH_wand_070b,
庭月 (一支孤瑞) , D011084, D011084,
侠少双刀 (道名逝) , RH_knife_006, RH_knife_006,
博浪巨剑 (倾心) , D007189, D007189,
桀骜不驯·春露笔 (纸留仙) (纸留仙·一) , RH_brush_141, RH_brush_141,
弃尘 (金箍) , RH_wand_014, RH_wand_014,
独步天下·尽寒琴 (突然多梦) , LH_piano_023, RH_blade_003,
破鳞 (云遮眉) , RH_bow_001, RH_bow_001,
舞风 (相如) , RH_Sword_061, RH_Sword_061,
楚山重剑 (落鹊峰) , D007407, D007407,
千钧棒 (金宵) , RH_wand_012, RH_wand_012,
阳辉 (绿寂调) , RH_knife_037b, RH_knife_037b,
无言自悟 (待秋风) , LH_shield_005, RH_pike_005,
无锋剑 (悲凉) , RH_sword_001, RH_sword_001,
流离长枪 (星锁) , RH_spear_050, RH_spear_050,
宿沙棒·曜 , Lh_stick_022, RH_flagon_058,
唐门内功威望武器 (鬓云斑) , RH_bow_004, RH_bow_004,
绝尘世 (乱香残夜) , San_024, San_024,
激水翦风·野藜笛 (天人残蚀) (天人残蚀·一) , D011076, D011076,
剑鸣八荒·砥海刀 (破煞惊云) (破煞惊云·一) , LH_BDdagger_048b, RH_BDknife_048b,
城守铁龙枪 (圣挽) , D010011, D010011,
擎山 (悲风泣) , LH_BDdagger_053, RH_BDknife_053,
林照初景 (横吐诺然·二) (横吐诺然·三) (横吐诺然·五) , D011069, D011069,
寻踪觅宝·泽灵 (洛城飞声) , D011078, D011078,
解语 (萧风叹) , D011111, D011111,
剑破九州·拓沙战戟 (冥霜) (冥霜·一) , RH_spear_102, RH_spear_102,
醉梦逍遥棒·跋山涉水 (三十无求) , Lh_stick_007, RH_flagon_013,
灵狐双剑 (如灭) , RH_Sword_013, RH_Sword_013,
煞·青玉流 , LH_piano_058, RH_blade_058, C_长歌95级橙武琴伤害红黑版_01HD, C_长歌95级橙武剑伤害红黑版_01HD
氐川双刃 (浮雁沉鱼) , RH_knife_098, RH_knife_098,
角微剑 (载荆) , RH_sword_280, RH_sword_280,
亢意剑 (鲲篷) , RH_sword_305, RH_sword_305,
月蚀·胤宝杖 (踏湖歌) , RH_wand_082, RH_wand_082,
紫燕忆双剑 (相依) , RH_Sword_045, RH_Sword_045,
金戈铁马 (待秋风) , LH_shield_005, RH_pike_005,
黑云孤雁 , LH_shield_029b, RH_pike_029b,
锁翠烟 (困心杖) , LH_piano_069, RH_blade_001,
冠世风流·溯情笔 (尘世人非) (尘世人非·一) , RH_brush_126, RH_brush_126,
结秀 (刺锋) , San_028, San_028,
海晏河清·征宵刀 (箍寒陨) (箍寒陨·一) , LH_BDdagger_041, RH_BDknife_041,
剑挽狂澜·荒极 (限光) , RH_sword_286, RH_sword_286,
战无不胜·海桑对剑 (未老) , RH_Sword_089b, RH_Sword_089b,
玄门法剑 (大道寂寥) , RH_sword_242, RH_sword_242,
沧海狂澜·芦庭棒 (醉金瓯) , Lh_stick_049, RH_flagon_085,
鹏翼摩天 (盟誓·二) (盟誓) (盟誓·一) , D007261, D007261,
灵晔 (刺锋) , San_028, San_028,
寻踪觅宝·隼影 (一身闲) , Lh_stick_030, RH_flagon_066,
汉陵秋 (道吾不还) , LH_piano_021, RH_blade_002,
血蟒沥 (今朝相伴) , D011001, D011001,
贤传 (莫虚) , RH_brush_006, RH_brush_006,
缠丝轻剑 (笑驱锋芒) , RH_sword_171b, RH_sword_171b,
沙暴弯刀 (道名逝) , RH_knife_006, RH_knife_006,
剑鸣朔漠·华令棍 (提婆因陀) , RH_wand_140, RH_wand_140,
百炼银龙剑 (别有洞天) , RH_sword_035, RH_sword_035,
罪兆 (中州遗恨) , RH_knife_007, RH_knife_007,
寻踪觅宝·坠暮 (独领残兵) , LH_shield_037, RH_pike_050,
翼梅 (晴光) , RH_sword_043, RH_sword_043,
寻踪觅宝·映心 (默默相随) , RH_sword_223, RH_sword_223,
宿沙盾刀·绽 (曲江封塞) , LH_shield_059, RH_pike_060,
寻踪觅宝·忆月 (芙蓉动) , RH_sword_273, RH_sword_273,
氐鸩匣 (淇水殇) , RH_bow_096, RH_bow_096,
沅芷刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
羽还 (幽园幻梦) , San_029, San_029,
意出风雨 (红颜吹度·二) (红颜吹度·三) (红颜吹度·五) , RH_brush_110, RH_brush_110,
缘武 (蘸蓝) , RH_brush_138, RH_brush_138,
麾蛟 (钰泞) , D007394, D007394,
拥仙 (卷烟涛) (卷烟涛·一) , D011073, D011073,
南无 (墨色染) , RH_wand_013, RH_wand_013,
虎贲·药罗双剑 (几蒲团) (几蒲团·一) (几蒲团·二) , RH_sword_155c, RH_sword_155d,
广陌弯刀 (朝夕圣魔) , RH_knife_060, RH_knife_060,
红铜剑 (宋玉) , RH_sword_002, RH_sword_002,
千秋岁引 (突然多梦) , LH_piano_023, RH_blade_003,
亥梨琴 (书味满堂) , LH_piano_024, RH_blade_004,
博文约礼·兴兵盾刀 (隐谢公) , LH_shield_008, RH_pike_008,
菊秋琴 (折花几步) , LH_piano_025, RH_blade_005,
镖师长棍 (棍胆) , RH_wand_015, RH_wand_015,
煞心焚骨·索居笛 (孤月引仙) (孤月引仙·一) , D011106b, D011106b,
离谗 (芳草姑苏) , RH_bow_009, RH_bow_009,
寻踪觅宝·浮槛 (对君欢) , RH_sword_225, RH_sword_225,
测试装备 , D007412, D007412, , C_藏剑100级大橙武重剑01
四海归一·伏骨盾刀 (水汽冰镜) , LH_shield_004, RH_pike_004,
达寂剑 (秋水) , D007186, D007186,
破军重器 (云遮眉) , RH_bow_001, RH_bow_001,
月照青枫·雨石重剑 (暮年) (暮年·一) , D007317, D007317,
河塞 (暴云) , LH_shield_001, RH_pike_001,
长云暗雪 (千回梦·二) (千回梦·三) (千回梦·五) , LH_shield_030, RH_pike_030,
渡法 (得吾) , RH_wand_033, RH_wand_033,
嵩岩 (道吾不还) , LH_piano_021, RH_blade_002,
暮色薄霞 (香尘春溪) , RH_sword_243, RH_sword_243,
燕丹歌 (几悲欢) , RH_bow_005, RH_bow_005,
霜笺 (捧心) , RH_brush_036, RH_brush_036,
涧中石 (天青日藏) , D007340, D007340,
须弥棍 (金宵) , RH_wand_012, RH_wand_012,
落云双剑 (冷露语) , RH_sword_288, RH_sword_288,
星绕云 (影乱指) (影乱指·一) , RH_sword_210, RH_sword_210,
隐誉 (山下闻道) , Lh_stick_006, RH_flagon_020,
汾水笔 (我意) , RH_brush_077, RH_brush_077,
洲头雁 (等闲幽梦) , RH_brush_087, RH_brush_087,
扬威天下·权明枪 (半面秋雨) , RH_spear_096, RH_spear_096,
江月流水 (放心) (放心·一) , RH_spear_061b, RH_spear_061b,
巳梦棒 (欲说千年) , Lh_stick_007, RH_flagon_011,
乌金血剑 (斗酒临厅) , Rh_sword_015, Rh_sword_015,
啸神州 , LH_BDdagger_054c, RH_BDknife_054c,
归心 (仲尼) , D007169, D007169,
苍天鹤血·寒情骨棒 (镜里花开) , Lh_stick_008, RH_flagon_019,
太华梦 (指上听) , LH_piano_003, RH_blade_003,
碧璃双剑 (不禁流苏) , RH_sword_255, RH_sword_255,
轻舞蝶足剑 (蛟龙吼) , D007161, D007161,
照空重剑 (扁舟) , D007187, D007187,
茅境藏锋 (镇魂) , RH_wand_050, RH_wand_050,
大厨青玉葱·火候 (步云歌) , D011047, D011047,
兜率天 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
琼石 (刺锋) , San_028, San_028,
喷云雷 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
银锋 (朝夕圣魔) , RH_knife_060, RH_knife_060,
太康唐门 (吴霜) , RH_bow_008, RH_bow_008,
暮苍然 (素娥冷) (素娥冷·一) , LH_shield_018, RH_pike_018,
桃夭春华 (山中云深) , RH_brush_121, RH_brush_121,
宿沙棒·绽 (残樽盛雪) , Lh_stick_023, RH_flagon_059,
寻踪觅宝·吐春 (问棋语) , RH_brush_119, RH_brush_119,
惊鸿 (贯日金声) , LH_piano_067, RH_blade_001,
寻踪觅宝·择日 (往昔流年) , RH_sword_224, RH_sword_224,
湛兮剑 (重试卷) , RH_sword_110, RH_sword_110,
无眠 (念临州) , RH_knife_018, RH_knife_018,
海鸿弩 (不知应刺) , RH_bow_075, RH_bow_075,
空颜 (芙蓉动) , RH_sword_273, RH_sword_273,
曦忆 (天下之枯荣) , RH_knife_043, RH_knife_043,
青铜双剑·飞天 (复仇者) , RH_sword_003, RH_sword_003,
隐秀 (香尘春溪) , RH_sword_243, RH_sword_243,
迫云轻剑 (狂戏) , D007171, D007171,
春雷琴 (幽弦泠音) , LH_piano_084, RH_blade_084,
金戈涉川·游清 (碧炉凤) , D011098, D011098,
惟月 (兰薰) , RH_brush_146, RH_brush_146,
化人 (照雄) , D010172, D010172,
端素 (载荆) , RH_sword_280, RH_sword_280,
测试装备 , LH_piano_010, RH_blade_010, C_长歌90级橙武琴治疗_01, C_长歌90级橙武剑治疗_01
寻踪觅宝·九曲淘浪 (流火观) , RH_knife_058, RH_knife_058,
云销雨霁 (几度幻哉) , RH_sword_170b, RH_sword_170b,
醉解敌颅·笑天弩 (红烛落湘) (红烛落湘·一) , RH_bow_090, RH_bow_090,
月色寒 (容若雕空) , RH_knife_073, RH_knife_073,
卧龙沙 (肃山河) , RH_spear_145, RH_spear_145,
痴爱 (柳风澜) (柳风澜·一) (柳风澜·二) , RH_knife_021, RH_knife_021,
朔霜 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
灵瓜棍 (上林散花) , RH_wand_101b, RH_wand_101b,
景龙琴 (动群伦) , LH_piano_020, RH_blade_001,
轻罗双剑 (仙乡) , RH_sword_044, RH_sword_044,
浮屠业火 , RH_wand_094c, RH_wand_094c,
会素 (载荆) , RH_sword_280, RH_sword_280,
北鸿 (云燕成双) , San_002, San_002,
朝云凤·蛊 , D011075, D011075,
绝域剑 (苍然伟物) , RH_sword_105, RH_sword_105,
凤律伶 (动群伦) , LH_piano_020, RH_blade_001,
踏碎城 (碧千帆) , LH_shield_003, RH_pike_003,
玉陛通尊·巍 , LH_shield_047b, RH_pike_047b,
傲世狂歌·蝶舞双剑 (芳草) , RH_sword_058, RH_sword_058,
双界爱染 (追悔) , RH_Sword_023, RH_Sword_023,
岁华西风 (流水) (流水·一) (流水·二) (流水·三) , RH_brush_097, RH_brush_097,
寻踪觅宝·霁阳 (流火观) , RH_knife_058, RH_knife_058,
麟云 (载地) , LH_shield_002, RH_pike_002,
巳夏刀 (碧千帆) , LH_shield_003, RH_pike_003,
霜染秋凛 (碧千帆) , LH_shield_003, RH_pike_003,
燕影棍 (红羽黯然) , RH_wand_023, RH_wand_023,
万春剑 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
无晦剑 (鹊仙问道) , RH_sword_334, RH_sword_334,
酉蛛虫笛 (若梦) , D011005c, D011005c,
琉璃 (追悔) , RH_Sword_023, RH_Sword_023,
披香伞 (紫宵幻蝶) , San_040, San_040,
铁血丹心·婉扬枪 (悬樱) , RH_spear_044, RH_spear_044,
威破赤霄·惊簇劲弩 (沦陷野风) (沦陷野风·一) , RH_bow_056, RH_bow_056,
青沼骨笛 (今朝相伴) , D011001, D011001,
龙威·义凌杖 (千古浮变) , RH_wand_097, RH_wand_097,
露洲笛 (鹊羽乱花) , D011114, D011114,
激水翦风·卿华双刃 (懒摇风) (懒摇风·一) , RH_knife_056, RH_knife_056,
南风滇歌 (落花流水) , D011002, D011002,
沧海奔流·俭静笔 (青蛇碧风) (青蛇碧风·一) , RH_brush_130, RH_brush_130,
剑鸣朔漠·向暮刀 (羽人谓) , LH_BDdagger_040, RH_BDknife_040,
烟迷 (绝塞银蛇·二) (绝塞银蛇·三) (绝塞银蛇·五) , RH_knife_046, RH_knife_046,
宿沙枪·绽 (云间卫) , RH_spear_117, RH_spear_117,
江月 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
浮光长清 (折星) , RH_brush_144, RH_brush_144,
昼野·鸾凤宿 (雪霜落) , LH_piano_028, RH_blade_014,
闻凉 (刺锋) , San_028, San_028,
万里音尘琴 (指上听) , LH_piano_003, RH_blade_003,
若容剑 (为君谋) (为君谋·一) (为君谋·二) (为君谋) , RH_sword_206, RH_sword_206,
绿烟刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
射海 (东风扫) (东风扫·一) (东风扫·二) (东风扫·三) , RH_bow_052, RH_bow_052,
壬燕弩 (夙夜命星) , RH_bow_060, RH_bow_060,
南风赫炎·异恩笛 (落花流水) , D011002, D011002,
侠行寒沙·驰雷盾刀 (燕将去) , LH_shield_069, RH_pike_070,
锦绣河山·昭华刀 (懒摇风) (懒摇风·一) , RH_knife_056, RH_knife_056,
萤雨笔 (红颜吹度) (红颜吹度·一) (红颜吹度·四) , RH_brush_110b, RH_brush_110b,
纵横天下·雷顺强弩 (浆纱笼烛) , RH_bow_037, RH_bow_037,
烟雨逍遥 , Lh_stick_007, RH_flagon_004,
合欢 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
黛雪剑 (香尘) , D007147, D007147,
清蕊 (争狂) , RH_Sword_027, RH_Sword_027,
尘沙傍蛟 , RH_sword_216c, RH_sword_216c,
拥蛟 (二十三棍) , Lh_stick_020, RH_flagon_056,
荒城鬼境·雪满棒 (雾沾襟) , Lh_stick_033, RH_flagon_069,
九曲·采苹笛 (月舞) (月舞·一) , D011070, D011070,
晞尘棒 (中宵携壶) , Lh_stick_016, RH_flagon_052,
雪墨 (鸥盟) , RH_brush_029, RH_brush_029,
仙云问鹤 , San_043b, San_043b, , P_蓬莱95级小橙武伞关
轻侯 (路遥) , D007160, D007160,
清波汇海·应灵双刃 (残屠塔) (残屠塔·一) , RH_knife_054, RH_knife_054,
羽檄 (载地) , LH_shield_002, RH_pike_002,
毅刻 (愚公) , D007185, D007185,
纯阳外功威望武器 (壁冷夜潮) , D007144, D007144,
斜芳丽绮琴 (贪古调) , LH_piano_001, RH_blade_001,
芦洲琴 (动群伦) , LH_piano_020, RH_blade_001,
明玥双剑 (如灭) , RH_Sword_013, RH_Sword_013,
侠行寒沙·光风剑 (限光) , RH_sword_286, RH_sword_286,
枯桑 (定山河) , LH_BDdagger_002, RH_BDknife_002,
子岳枪 (时光) , RH_spear_011, RH_spear_011,
烽火八方·隐云剑 (心无心) (心无心·一) , RH_sword_246, RH_sword_246,
初见日月·苍苍然 (丹链) , RH_sword_283, RH_sword_283,
旌武 (乱香残夜) , San_024, San_024,
天地一苍茫 (行云雨) (行云雨·一) (行云雨·二) (行云雨·三) , RH_brush_113, RH_brush_113,
守易剑 (鲲篷) , RH_sword_305, RH_sword_305,
干将·莫邪 , RH_sword_177, RH_sword_177b, RH_sword_177七秀_冰心, RH_sword_177b七秀_冰心
苍云测试武器 (孤屿) , LH_shield_006, RH_pike_006,
锁夜 (昊芒) , RH_spear_109, RH_spear_109,
血战黄泉·断肠弓 (醒魂香) (醒魂香·一) , RH_bow_044, RH_bow_044,
炽焰燃烽·仲星琴 (轩昂色) , LH_piano_014, RH_blade_014,
测试装备 , RH_sword_349, RH_sword_349, Q_七秀100级大橙武输出01, Q_七秀100级大橙武输出01
蚕食剑 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
旧侯 , RH_knife_015, RH_knife_015,
氐山盾刀 (绝域苍茫) , LH_shield_087, RH_pike_087,
一念·七绝 (斜阳) , D007132, D007132,
空俞音 (澄净) , D011059, D011059,
阳阿 (凝眸) , D007031, D007031,
畅梦观云·淳雅笔 (好鸟吟风) (好鸟吟风·一) , RH_brush_099b, RH_brush_099b,
怒牙之击 (鬓云斑) , RH_bow_004, RH_bow_004,
夷叛 (芳草姑苏) , RH_bow_009, RH_bow_009,
傲世狂歌·镜华双剑 (关山月) , RH_sword_055, RH_sword_055,
芦洲琴 (雪霜落) , LH_piano_028, RH_blade_014,
其薇 (香尘春溪) , RH_sword_243, RH_sword_243,
紫电剑 (征烟) , RH_sword_010, RH_sword_010,
别鹤笛 (唱彻金河) , D011094, D011094,
儒礼琴 (弦歌别绪) , LH_piano_087, RH_blade_087,
三径棍 (杀乱) (杀乱·一) , RH_wand_072b, RH_wand_072b,
斐殊 (幽篁) , RH_sword_301, RH_sword_301,
博文约礼·洒帆刀 (云燕成双) , San_002, San_002,
宛丘双剑 (天涯鸿飞) , RH_sword_324, RH_sword_324,
怀瑾 (丹羽长期) , D011082, D011082,
金戈涉川·靖思 (提婆因陀) , RH_wand_140, RH_wand_140,
菩提木 (枯九折) (枯九折·一) , RH_wand_115, RH_wand_115,
触目 (鬓云斑) , RH_bow_004, RH_bow_004,
激水翦风·虎翼战戟 (一人孤军) (一人孤军·一) , RH_spear_105, RH_spear_105,
曲嘉弩 (雄吾壮行) (雄吾壮行·一) , RH_bow_045b, RH_bow_045b,
古朴的百花双剑 (几度幻哉) , RH_sword_170b, RH_sword_170b,
般若 (伤追) , RH_wand_028, RH_wand_028,
雨桃朝烟 (嘶魂吹) , D011093, D011093,
浸太清 (刺锋) , San_028, San_028,
铁脊蟒刃 (兰亭·一) (兰亭) , D007221, D007221,
和敬笔 (莫弹冠) , RH_brush_098, RH_brush_098,
天地困人·相映 (流瞻) , RH_sword_310, RH_sword_310,
破损的戒棍 (黄杨) , RH_wand_001, RH_wand_001,
气凌彭泽 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
曼珠沙华 (几度幻哉) , RH_sword_170b, RH_sword_170b,
扬和铃 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
文韬武略·德音剑 (真灵阳神) , RH_sword_262, RH_sword_262,
初雁枪 (云间卫) , RH_spear_117, RH_spear_117,
枕戈待战·冲和剑 (意云) , RH_sword_302, RH_sword_302,
逍遥天下·岚津笛 (越曲) , D011057b, D011057b,
童子仙音 (功成) , D011060b, D011060b,
丙涟对剑 (残云) (残云·一) (残云·二) , RH_Sword_083, RH_Sword_083,
沧波渔网架·星月万里 (网罗天下) , San_046, San_046,
千机笔 (怒涛) , RH_brush_052, RH_brush_052,
和儒琴 (闻人泣) , LH_piano_026, RH_blade_006,
纵横四海·清啸 (关山残月) (关山残月·一) , RH_spear_134b, RH_spear_134b,
绝烟 (引游人) , D007142b, D007142b,
巳和琴 (动群伦) , LH_piano_020, RH_blade_001,
萧悲棍 (恒一) , RH_wand_144, RH_wand_144,
千龄弩 (阿房一炬) , RH_bow_051, RH_bow_051,
山川 (与谁同) , LH_shield_007, RH_pike_007,
星逸琴 (一生任性) , LH_piano_022, RH_blade_003,
搴洲 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
亥电剑 (月露桂清) , RH_sword_130, RH_sword_130,
扶马索缰 (眉绝巅·二) (眉绝巅·三) (眉绝巅·五) , RH_spear_098, RH_spear_098,
苍术·梅颐弓 (夜归龙) , RH_bow_022, RH_bow_022,
秋雨收声 (沧海倒江潮) , RH_brush_125, RH_brush_125,
若水剑 (坚牢) , RH_sword_015, RH_sword_015,
测试装备 (卿与) , RH_sword_307, RH_sword_307,
南风赫炎·瑰缘双剑 (西池·一) (西池) , RH_Sword_071, RH_Sword_071,
气荡沧溟·云情幽梦 (顾盼相思) (顾盼相思·一) , RH_sword_310b, RH_sword_310b,
思繁 (碧炉凤) , D011098, D011098,
万里长风·兰蕙双剑 (顾盼相思) (顾盼相思·一) , RH_sword_310b, RH_sword_310b,
星磐琴 (为生声) , LH_piano_027, RH_blade_011,
净生棍 (法净正觉) , RH_wand_136, RH_wand_136,
金郑 (送春日) , RH_spear_088b, RH_spear_088b,
龙威·腾格枪 (销魂) , RH_spear_082, RH_spear_082,
合相 (枯泥寺) , RH_wand_138, RH_wand_138,
三山云涛 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
魅香笛 (对镜) , D011006, D011006,
策马扬戈·庭疏棒 (满宫竹青) (满宫竹青·一) , Lh_stick_010, RH_flagon_045,
焚琉璃 (已相顾) , RH_knife_077, RH_knife_077,
山涛卷雾 (相见不见) , RH_brush_035, RH_brush_035,
藏印 (白璧青樱) , RH_wand_102, RH_wand_102,
惟默浮 (比如无悦) , RH_wand_101, RH_wand_101,
千岳闻钟 (定山河) , LH_BDdagger_002, RH_BDknife_002,
自伐剑 (万里深雪) (万里深雪·一) , RH_sword_184, RH_sword_184,
战无不胜·罡星剑 (刺蛟龙) , RH_Sword_084c, RH_Sword_084c,
晚樱笔 (谁发香气) (谁发香气·一) , RH_brush_106, RH_brush_106,
红径琴 (突然多梦) , LH_piano_023, RH_blade_003,
未济 (有穷无极) (有穷无极·一) (有穷无极·四) , RH_sword_196b, RH_sword_196b,
鼓闻刀 (曲江封塞) , LH_shield_059, RH_pike_060,
彩鸾 (一生任性) , LH_piano_022, RH_blade_003,
穆鸣笔 (折星) , RH_brush_144, RH_brush_144,
淳德全道 (西游空山) (西游空山·一) , RH_brush_114, RH_brush_114,
四海归一·蓬仙轻剑 (凌波立意) (凌波立意·一) , RH_sword_180, RH_sword_180,
穿庭花 (冷露语) , RH_sword_288, RH_sword_288,
墨阳快剑 (愁生) , D007202, D007202,
玄雷 (鹤狸) (鹤狸·一) , RH_knife_035b, RH_knife_035b,
星沙火 (金青明王) (金青明王·一) , RH_knife_053, RH_knife_053,
天怀琴 (道吾不还) , LH_piano_021, RH_blade_002,
楚人凤 (懿德长情) , LH_piano_052, RH_blade_013,
听雪竹 (碧翠青香) (碧翠青香·一) (碧翠青香·四) , Lh_stick_006, RH_flagon_040b,
悲风激 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
寻踪觅宝·回首 (往昔流年) , RH_sword_224, RH_sword_224,
子怨 (剪墓) , D007384, D007384,
淑女星蝉 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
